Incremental Sphere Turning DataSphere diameter = 1.0 inStock diameter = 1.0 inAngular increment = 5.0 degN = cut numberXF = axial (along lathe bed) position of toolDX = increment inx from last cutYF = depth of cutDY = increment in y from last cutWD = work diameter resulting from depth of cut YF
  N          XF          DX          YF           DY         WD
---  ----------  ----------  ----------  -----------  ---------
  0  0           0           0.5          0           0
  1  0.00190265  0.00190265  0.456422    -0.0435779   0.0871557
  2  0.00759612  0.00569347  0.413176    -0.0432462   0.173648
  3  0.0170371   0.00944096  0.37059     -0.0425854   0.258819
  4  0.0301537   0.0131166   0.32899     -0.0416005   0.34202
  5  0.0468461   0.0166924   0.288691    -0.0402991   0.422618
  6  0.0669873   0.0201412   0.25        -0.0386909   0.5
  7  0.090424    0.0234367   0.213212    -0.0367882   0.573576
  8  0.116978    0.0265538   0.178606    -0.0346056   0.642788
  9  0.146447    0.0294688   0.146447    -0.0321596   0.707107
 10  0.178606    0.0321596   0.116978    -0.0294688   0.766044
 11  0.213212    0.0346056   0.090424    -0.0265538   0.819152
 12  0.25        0.0367882   0.0669873   -0.0234367   0.866025
 13  0.288691    0.0386909   0.0468461   -0.0201412   0.906308
 14  0.32899     0.0402991   0.0301537   -0.0166924   0.939693
 15  0.37059     0.0416005   0.0170371   -0.0131166   0.965926
 16  0.413176    0.0425854   0.00759612  -0.00944096  0.984808
 17  0.456422    0.0432462   0.00190265  -0.00569347  0.996195
 18  0.5         0.0435779   0           -0.00190265  1
