Incremental Sphere Turning Data
Sphere diameter = 1.0000 in
Stock diameter = 1.0000 in
Angular increment = 5.0000 deg

N = cut number
XF = axial (along lathe bed) position of tool
DX = increment in x from last cut
YF = depth of cut
DY = increment in y from last cut
WD = work diameter resulting from depth of cut YF

  N       XF       DX       YF       DY       WD

  0    0.000   +0.000    0.500   +0.000    0.000
  1    0.002   +0.002    0.456   -0.044    0.087
  2    0.008   +0.006    0.413   -0.043    0.174
  3    0.017   +0.009    0.371   -0.043    0.259
  4    0.030   +0.013    0.329   -0.042    0.342
  5    0.047   +0.017    0.289   -0.040    0.423
  6    0.067   +0.020    0.250   -0.039    0.500
  7    0.090   +0.023    0.213   -0.037    0.574
  8    0.117   +0.027    0.179   -0.035    0.643
  9    0.146   +0.029    0.146   -0.032    0.707
 10    0.179   +0.032    0.117   -0.029    0.766
 11    0.213   +0.035    0.090   -0.027    0.819
 12    0.250   +0.037    0.067   -0.023    0.866
 13    0.289   +0.039    0.047   -0.020    0.906
 14    0.329   +0.040    0.030   -0.017    0.940
 15    0.371   +0.042    0.017   -0.013    0.966
 16    0.413   +0.043    0.008   -0.009    0.985
 17    0.456   +0.043    0.002   -0.006    0.996
 18    0.500   +0.044    0.000   -0.002    1.000
