Incremental Sphere Turning Data
Sphere diameter = 2.0 in
Stock diameter = 2.5 in
X increment = 0.02 in

N = cut number
XF = axial (along lathe bed) position of tool
DX = increment inx from last cut
YF = depth of cut
DY = increment in y from last cut
WD = work diameter resulting from depth of cut YF

  N    XF    DX      YF       DY      WD
---  ----  ----  ------  -------  ------
  0  0     0     1.25     0       0
  1  0.02  0.02  1.051   -0.199   0.398
  2  0.04  0.02  0.97    -0.081   0.56
  3  0.06  0.02  0.9088  -0.0612  0.6823
  4  0.08  0.02  0.8581  -0.0507  0.7838
  5  0.1   0.02  0.8141  -0.044   0.8718
  6  0.12  0.02  0.775   -0.0391  0.9499
  7  0.14  0.02  0.7397  -0.0353  1.0206
  8  0.16  0.02  0.7074  -0.0323  1.0852
  9  0.18  0.02  0.6776  -0.0298  1.1447
 10  0.2   0.02  0.65    -0.0276  1.2
 11  0.22  0.02  0.6242  -0.0258  1.2516
 12  0.24  0.02  0.6001  -0.0241  1.2998
 13  0.26  0.02  0.5774  -0.0227  1.3452
 14  0.28  0.02  0.556   -0.0214  1.3879
 15  0.3   0.02  0.5359  -0.0202  1.4283
 16  0.32  0.02  0.5168  -0.0191  1.4664
 17  0.34  0.02  0.4987  -0.0181  1.5025
 18  0.36  0.02  0.4816  -0.0171  1.5367
 19  0.38  0.02  0.4654  -0.0162  1.5692
 20  0.4   0.02  0.45    -0.0154  1.6
 21  0.42  0.02  0.4354  -0.0146  1.6292
 22  0.44  0.02  0.4215  -0.0139  1.657
 23  0.46  0.02  0.4083  -0.0132  1.6833
 24  0.48  0.02  0.3958  -0.0125  1.7083
 25  0.5   0.02  0.384   -0.0119  1.7321
 26  0.52  0.02  0.3727  -0.0112  1.7545
 27  0.54  0.02  0.3621  -0.0107  1.7758
 28  0.56  0.02  0.352   -0.0101  1.796
 29  0.58  0.02  0.3425  -0.0095  1.815
 30  0.6   0.02  0.3335  -0.009   1.833
 31  0.62  0.02  0.325   -0.0085  1.85
 32  0.64  0.02  0.317   -0.008   1.8659
 33  0.66  0.02  0.3096  -0.0075  1.8809
 34  0.68  0.02  0.3026  -0.007   1.8948
 35  0.7   0.02  0.2961  -0.0065  1.9079
 36  0.72  0.02  0.29    -0.0061  1.92
 37  0.74  0.02  0.2844  -0.0056  1.9312
 38  0.76  0.02  0.2792  -0.0052  1.9415
 39  0.78  0.02  0.2745  -0.0047  1.951
 40  0.8   0.02  0.2702  -0.0043  1.9596
 41  0.82  0.02  0.2663  -0.0039  1.9673
 42  0.84  0.02  0.2629  -0.0035  1.9742
 43  0.86  0.02  0.2598  -0.003   1.9803
 44  0.88  0.02  0.2572  -0.0026  1.9855
 45  0.9   0.02  0.255   -0.0022  1.99
 46  0.92  0.02  0.2532  -0.0018  1.9936
 47  0.94  0.02  0.2518  -0.0014  1.9964
 48  0.96  0.02  0.2508  -0.001   1.9984
 49  0.98  0.02  0.2502  -0.0006  1.9996
