Material = 1 ALUMINUM AND ALLOYS
  SPEED (rpm)    MIN DIAMETER (in)    MAX DIAMETER (in)
-------------  -------------------  -------------------
           85               8.9876              13.4814
          115               6.643                9.9645
          150               5.093                7.6394
          215               3.5532               5.3298
          280               2.7284               4.0926
          345               2.2143               3.3215
          505               1.5128               2.2691
          625               1.2223               1.8335
          875               0.8731               1.3096
         1090               0.7009               1.0513
         1595               0.479                0.7184
         2225               0.3433               0.515
