Data for EXPAND.EXE

You can add notes here without the need to preface each line with the
comment character (";").

;Material coefficient of linear expansion ppm/degF (Maximum of 200 entries)

Anything entered before the next line will be ignored by the program.
STARTOFDATA

Aluminum,12.44
Beryllium,6.4
Beryllium-copper,9.3
Brass,10.0
Brick,3.0
Bronze,10.0
Carbon,1.4
Cobalt,6.83
Concrete,6.0
Copper,9.0
Glass,5.0
Gold,7.78
Granite,4.4
Iridium,3.61
Iron-cast,6.55
Iron-wrought,6.61
Lead,16.3
Magnesium,14.44
Nickel,7.0
Pine,2.8
Platinum,4.96
Silicon-carbide,2.3
Silver,10.25
Steel-carbon,6.3
Steel-stainless,9.6
Tin,14.96
Titanium,4.9
Tungsten,2.39
Vanadium,4.8
Zinc,17.0

;Anything entered below the next line will be ignored by the program.
ENDOFDATA

You can add notes here without the need to preface each line with the
comment character (";").

