Desired ratio = 2

12:12-24:12-  2 (0 %) **
12:12-26:13-  2 (0 %)
12:12-28:14-  2 (0 %)
12:12-30:15-  2 (0 %)
12:12-32:16-  2 (0 %)
12:12-34:17-  2 (0 %)
12:12-36:18-  2 (0 %)
12:12-38:19-  2 (0 %)
12:12-40:20-  2 (0 %)
12:12-42:21-  2 (0 %)
12:12-44:22-  2 (0 %)
12:12-46:23-  2 (0 %)
12:12-48:24-  2 (0 %)
12:12-50:25-  2 (0 %)
12:12-52:26-  2 (0 %)
12:12-54:27-  2 (0 %)
12:12-56:28-  2 (0 %)
12:12-58:29-  2 (0 %)
12:12-60:30-  2 (0 %)
12:12-62:31-  2 (0 %)
12:12-64:32-  2 (0 %)
12:12-66:33-  2 (0 %)
12:12-68:34-  2 (0 %)
12:12-70:35-  2 (0 %)
12:12-72:36-  2 (0 %)
12:12-74:37-  2 (0 %)
12:12-76:38-  2 (0 %)
12:12-78:39-  2 (0 %)
12:12-80:40-  2 (0 %)
12:12-82:41-  2 (0 %)
12:12-84:42-  2 (0 %)
12:12-86:43-  2 (0 %)
12:12-88:44-  2 (0 %)
12:12-90:45-  2 (0 %)
12:12-92:46-  2 (0 %)
12:12-94:47-  2 (0 %)
12:12-96:48-  2 (0 %)
12:12-98:49-  2 (0 %)
12:12-100:50-  2 (0 %)
12:13-26:12-  2 (0 %)
12:13-39:18-  2 (0 %)
12:13-52:24-  2 (0 %)
12:13-65:30-  2 (0 %)
12:13-78:36-  2 (0 %)
12:13-91:42-  2 (0 %)
12:14-28:12-  2 (-1.11022e-014 %)
12:14-35:15-  2 (-1.11022e-014 %)
12:14-42:18-  2 (-1.11022e-014 %)
12:14-49:21-  2 (-1.11022e-014 %)
12:14-56:24-  2 (-1.11022e-014 %)
12:14-63:27-  2 (-1.11022e-014 %)
12:14-70:30-  2 (-1.11022e-014 %)
12:14-77:33-  2 (-1.11022e-014 %)
12:14-84:36-  2 (-1.11022e-014 %)
12:14-91:39-  2 (-1.11022e-014 %)
12:14-98:42-  2 (-1.11022e-014 %)
12:15-30:12-  2 (0 %)
12:15-35:14-  2 (0 %)
12:15-40:16-  2 (0 %)
12:15-45:18-  2 (0 %)
12:15-50:20-  2 (0 %)
12:15-55:22-  2 (0 %)
12:15-60:24-  2 (0 %)
12:15-65:26-  2 (0 %)
12:15-70:28-  2 (0 %)
12:15-75:30-  2 (0 %)
12:15-80:32-  2 (0 %)
12:15-85:34-  2 (0 %)
12:15-90:36-  2 (0 %)
12:15-95:38-  2 (0 %)
12:15-100:40-  2 (0 %)
12:16-32:12-  2 (0 %)
12:16-40:15-  2 (0 %)
12:16-48:18-  2 (0 %)
12:16-56:21-  2 (0 %)
12:16-64:24-  2 (0 %)
12:16-72:27-  2 (0 %)
12:16-80:30-  2 (0 %)
12:16-88:33-  2 (0 %)
12:16-96:36-  2 (0 %)
12:17-34:12-  2 (0 %)
12:17-51:18-  2 (0 %)
12:17-68:24-  2 (0 %)
12:17-85:30-  2 (0 %)
12:18-36:12-  2 (0 %)
12:18-39:13-  2 (0 %)
12:18-42:14-  2 (0 %)
12:18-45:15-  2 (0 %)
12:18-48:16-  2 (0 %)
12:18-51:17-  2 (0 %)
12:18-54:18-  2 (0 %)
12:18-57:19-  2 (0 %)
12:18-60:20-  2 (0 %)
12:18-63:21-  2 (0 %)
12:18-66:22-  2 (0 %)
12:18-69:23-  2 (0 %)
12:18-72:24-  2 (0 %)
12:18-75:25-  2 (0 %)
12:18-78:26-  2 (0 %)
12:18-81:27-  2 (0 %)
12:18-84:28-  2 (0 %)
12:18-87:29-  2 (0 %)
12:18-90:30-  2 (0 %)
12:18-93:31-  2 (0 %)
12:18-96:32-  2 (0 %)
12:18-99:33-  2 (0 %)
12:19-38:12-  2 (0 %)
12:19-57:18-  2 (0 %)
12:19-76:24-  2 (0 %)
12:19-95:30-  2 (0 %)
12:20-40:12-  2 (0 %)
12:20-50:15-  2 (0 %)
12:20-60:18-  2 (0 %)
12:20-70:21-  2 (0 %)
12:20-80:24-  2 (0 %)
12:20-90:27-  2 (0 %)
12:20-100:30-  2 (0 %)
12:21-42:12-  2 (0 %)
12:21-49:14-  2 (0 %)
12:21-56:16-  2 (0 %)
12:21-63:18-  2 (0 %)
12:21-70:20-  2 (0 %)
12:21-77:22-  2 (0 %)
12:21-84:24-  2 (0 %)
12:21-91:26-  2 (0 %)
12:21-98:28-  2 (0 %)
12:22-44:12-  2 (-1.11022e-014 %)
12:22-55:15-  2 (-1.11022e-014 %)
12:22-66:18-  2 (-1.11022e-014 %)
12:22-77:21-  2 (-1.11022e-014 %)
12:22-88:24-  2 (-1.11022e-014 %)
12:22-99:27-  2 (-1.11022e-014 %)
12:23-46:12-  2 (0 %)
12:23-69:18-  2 (0 %)
12:23-92:24-  2 (0 %)
12:24-48:12-  2 (0 %)
12:24-52:13-  2 (0 %)
12:24-56:14-  2 (0 %)
12:24-60:15-  2 (0 %)
12:24-64:16-  2 (0 %)
