Number of divisions = 13 

DIVISION      degdec     deg     min     sec
       0      0.0000       0       0       0
       1     27.6923      27      41      32
       2     55.3846      55      23       5
       3     83.0769      83       4      37
       4    110.7692     110      46       9
       5    138.4615     138      27      42
       6    166.1538     166       9      14
       7    193.8462     193      50      46
       8    221.5385     221      32      18
       9    249.2308     249      13      51
      10    276.9231     276      55      23
      11    304.6154     304      36      55
      12    332.3077     332      18      28
      13    360.0000       0       0       0
