Number of divisions = 13 

  DIVISON    degdec    deg    min    sec
---------  --------  -----  -----  -----
        0    0           0      0      0
        1   27.6923     27     41     32
        2   55.3846     55     23      5
        3   83.0769     83      4     37
        4  110.769     110     46      9
        5  138.462     138     27     42
        6  166.154     166      9     14
        7  193.846     193     50     46
        8  221.538     221     32     18
        9  249.231     249     13     51
       10  276.923     276     55     23
       11  304.615     304     36     55
       12  332.308     332     18     28
       13  360         360      0      0
