Workpiece radius = 1.000 in
Ball mill diameter = 0.250 in
A = (R+r)*sin(theta)
B = (R+r)*cos(theta)
C = (R+r)*(1 - sin(theta))
D = (R+r)*(1 - cos(theta))

 ANGLE       A       B       C       D
   0.0   0.000   1.125   1.125   0.000
   5.0   0.098   1.121   1.027   0.004
  10.0   0.195   1.108   0.930   0.017
  15.0   0.291   1.087   0.834   0.038
  20.0   0.385   1.057   0.740   0.068
  25.0   0.475   1.020   0.650   0.105
  30.0   0.563   0.974   0.562   0.151
  35.0   0.645   0.922   0.480   0.203
  40.0   0.723   0.862   0.402   0.263
  45.0   0.795   0.795   0.330   0.330
  50.0   0.862   0.723   0.263   0.402
  55.0   0.922   0.645   0.203   0.480
  60.0   0.974   0.562   0.151   0.563
  65.0   1.020   0.475   0.105   0.650
  70.0   1.057   0.385   0.068   0.740
  75.0   1.087   0.291   0.038   0.834
  80.0   1.108   0.195   0.017   0.930
  85.0   1.121   0.098   0.004   1.027
  90.0   1.125  -0.000   0.000   1.125
