LOAN CALCULATIONS

Principal = $10000.00
Periods = 10
Interest = 6.00 %

Payment each period = $1,358.68
Total loan cost = $13,586.80

PERIOD       PRINCIPAL       INTEREST         PTOTAL         ITOTAL

1               758.68         600.00         758.68         600.00
2               804.20         554.48       1,562.88       1,154.48
3               852.45         506.23       2,415.33       1,660.71
4               903.60         455.08       3,318.93       2,115.79
5               957.82         400.86       4,276.75       2,516.65
6             1,015.28         343.40       5,292.03       2,860.05
7             1,076.20         282.48       6,368.23       3,142.52
8             1,140.77         217.91       7,509.01       3,360.43
9             1,209.22         149.46       8,718.23       3,509.89
10            1,281.77          76.91      10,000.00       3,586.80
